"","AST-1065","AST-1147","AST-1412","AST-1560","AST-1567","AST-1617","AST-1722","AST-2000","AST-2007","AST-2302","AST-2360","AST-2398","AST-2404","AST-2412","AST-2512","AST-2523","AST-2563","AST-2729","AST-2755","Gene","Module"
"Cluster_2151_chromosome_8:4117884-4117974",18,403,101,7,104,54,328,107,54,167,15,79,91,20,13,44,17,24,106,"Cluster_2151_chromosome_8:4117884-4117974","turquoise"
"Cluster_2972_chromosome_10:5278782-5278872",53,561,20,4,90,172,30,70,27,131,12,171,87,5,11,125,33,12,89,"Cluster_2972_chromosome_10:5278782-5278872","brown"
"Cluster_3037_chromosome_10:11981301-11981397",3384,20066,3553,91,3010,7785,4325,4258,7829,9231,1059,6064,12996,2605,507,4702,3407,1173,4136,"Cluster_3037_chromosome_10:11981301-11981397","yellow"
"Cluster_3044_chromosome_10:12450144-12450240",37,6393,250,4,858,367,1889,504,363,1178,106,1557,374,75,22,133,96,54,694,"Cluster_3044_chromosome_10:12450144-12450240","turquoise"
"Cluster_3293_chromosome_10:27379383-27379471",110,1553,259,10,188,461,571,276,534,442,36,336,343,24,26,173,140,18,391,"Cluster_3293_chromosome_10:27379383-27379471","brown"
"Cluster_3331_chromosome_10:30762009-30762103",480,88605,1196,59,1210,3220,25684,2385,1415,16254,485,18686,1805,403,187,6040,1866,520,4293,"Cluster_3331_chromosome_10:30762009-30762103","black"
"Cluster_3337_chromosome_10:30943312-30943406",431,0,1275,55,1222,3233,0,2323,1399,0,571,0,1796,412,200,0,1839,506,4274,"Cluster_3337_chromosome_10:30943312-30943406","brown"
"Cluster_3338_chromosome_10:30952312-30952406",427,0,1297,65,1244,3297,0,2412,1363,0,502,0,1823,395,224,0,1847,485,4214,"Cluster_3338_chromosome_10:30952312-30952406","brown"
"Cluster_3406_chromosome_11:4453816-4453908",70,462,214,3,93,38,414,310,43,550,23,46,12,14,24,19,137,30,9,"Cluster_3406_chromosome_11:4453816-4453908","brown"
"Cluster_3423_chromosome_11:5587646-5587736",8,285,27,4,39,0,50,22,12,64,0,42,21,2,0,32,15,45,80,"Cluster_3423_chromosome_11:5587646-5587736","blue"
"Cluster_3730_chromosome_11:30949714-30949806",29,11181,561,6,1376,499,2140,535,335,1410,204,1047,473,123,16,250,75,74,332,"Cluster_3730_chromosome_11:30949714-30949806","turquoise"
"Cluster_3889_chromosome_12:9275018-9275111",204,2053,327,10,434,428,675,197,259,547,40,764,897,131,18,280,161,65,94,"Cluster_3889_chromosome_12:9275018-9275111","yellow"
"Cluster_4044_chromosome_12:23068953-23069045",99,4140,361,9,756,712,28,99,89,1503,23,1334,475,58,7,480,194,14,36,"Cluster_4044_chromosome_12:23068953-23069045","yellow"
"Cluster_4425_chromosome_13:7028626-7028718",21,2359,194,10,164,121,305,145,82,476,39,318,385,36,9,57,42,63,190,"Cluster_4425_chromosome_13:7028626-7028718","turquoise"
"Cluster_4531_chromosome_13:14325090-14325180",14,516,22,0,61,39,109,52,22,122,4,147,76,6,0,16,6,3,104,"Cluster_4531_chromosome_13:14325090-14325180","turquoise"
"Cluster_4640_chromosome_13:25495271-25495363",49,4881,246,12,976,127,1616,223,111,538,51,2123,152,89,37,156,58,57,163,"Cluster_4640_chromosome_13:25495271-25495363","turquoise"
"Cluster_4646_chromosome_13:25927738-25927830",352,7549,1180,37,1307,1004,1533,800,1811,2970,243,2669,2346,153,139,741,587,255,386,"Cluster_4646_chromosome_13:25927738-25927830","yellow"
"Cluster_4696_chromosome_13:30863765-30863855",14,766,35,2,47,116,370,39,47,237,10,67,21,11,0,48,21,18,83,"Cluster_4696_chromosome_13:30863765-30863855","blue"
"Cluster_4754_chromosome_13:36030275-36030371",28,423,132,2,48,98,256,109,81,194,22,107,191,28,8,128,77,114,92,"Cluster_4754_chromosome_13:36030275-36030371","brown"
"Cluster_4806_chromosome_13:38827795-38827885",11,1312,25,1,88,59,229,63,50,98,15,140,63,16,1,27,12,5,25,"Cluster_4806_chromosome_13:38827795-38827885","turquoise"
"Cluster_4831_chromosome_13:39611451-39611543",493,5440,935,7,339,1361,2319,1116,2786,3480,270,1730,2213,350,134,957,317,298,874,"Cluster_4831_chromosome_13:39611451-39611543","red"
"Cluster_5061_chromosome_14:8601339-8601434",18,1716,50,1,37,40,432,75,65,126,15,170,103,31,4,106,46,24,261,"Cluster_5061_chromosome_14:8601339-8601434","green"
"Cluster_6059_chromosome_14:21497245-21497336",2,413,1,0,0,0,0,0,43,1,0,0,1,0,2,4,0,0,81,"Cluster_6059_chromosome_14:21497245-21497336","green"
"Cluster_8986_chromosome_14:39291980-39292070",8,930,39,1,140,36,129,24,12,92,4,238,86,8,0,42,10,9,15,"Cluster_8986_chromosome_14:39291980-39292070","turquoise"
"Cluster_9000_chromosome_14:40086341-40086433",40,1468,106,0,87,96,297,105,237,408,30,387,169,34,16,57,52,48,221,"Cluster_9000_chromosome_14:40086341-40086433","red"
"Cluster_9082_chromosome_14:44009475-44009567",30,1658,44,1,166,99,184,41,61,118,24,272,99,20,11,104,19,25,160,"Cluster_9082_chromosome_14:44009475-44009567","green"
"Cluster_9205_chromosome_14:53448648-53448739",10,13602,4319,59,635,10254,15258,863,1652,2837,71,19668,76,2337,863,1081,68,520,734,"Cluster_9205_chromosome_14:53448648-53448739","turquoise"
