"","GO.ID","Term","Annotated","Significant","Expected","Fisher","ontology","mRNA"
"65","GO:0050038","L-xylulose reductase (NADPH) activity",2,1,0,0.00182,"Molecular Functions","evm.TU.chromosome_5.1067"
"66","GO:0048273","mitogen-activated protein kinase p38 binding",3,1,0,0.00273,"Molecular Functions","evm.TU.chromosome_2.771"
"67","GO:0004707","MAP kinase activity",8,1,0.01,0.00725,"Molecular Functions","evm.TU.chromosome_2.771"
"68","GO:0004707","MAP kinase activity",8,1,0.01,0.00725,"Molecular Functions","evm.TU.chromosome_2.771"
"69","GO:0008201","heparin binding",175,2,0.16,0.0108,"Molecular Functions","evm.TU.chromosome_3.1557"
"70","GO:0008201","heparin binding",175,2,0.16,0.0108,"Molecular Functions","evm.TU.chromosome_6.2498"
"71","GO:0030983","mismatched DNA binding",15,1,0.01,0.01356,"Molecular Functions","evm.TU.chromosome_5.1840"
"72","GO:0030983","mismatched DNA binding",15,1,0.01,0.01356,"Molecular Functions","evm.TU.chromosome_5.1840"
"73","GO:0036310","ATP-dependent DNA/DNA annealing activity",16,1,0.01,0.01445,"Molecular Functions","evm.TU.chromosome_13.4082"
"74","GO:0017116","single-stranded DNA helicase activity",23,1,0.02,0.02071,"Molecular Functions","evm.TU.chromosome_8.2061"
"75","GO:0008106","alcohol dehydrogenase (NADP+) activity",26,1,0.02,0.02339,"Molecular Functions","evm.TU.chromosome_10.3111"
"76","GO:0051880","G-quadruplex DNA binding",26,1,0.02,0.02339,"Molecular Functions","evm.TU.chromosome_8.2061"
"77","GO:0102710","D-inositol-3-phosphate glycosyltransferase activity",29,1,0.03,0.02605,"Molecular Functions","evm.TU.chromosome_8.1515"
"78","GO:0008094","ATP-dependent activity, acting on DNA",169,3,0.15,0.02792,"Molecular Functions","evm.TU.chromosome_5.1840"
"79","GO:0008094","ATP-dependent activity, acting on DNA",169,3,0.15,0.02792,"Molecular Functions","evm.TU.chromosome_5.1840"
"80","GO:0016715","oxidoreductase activity, acting on paired donors, w...",32,1,0.03,0.02871,"Molecular Functions","evm.TU.chromosome_4.1160"
"81","GO:0016655","oxidoreductase activity, acting on NAD(P)H, quinone...",33,1,0.03,0.02959,"Molecular Functions","evm.TU.chromosome_5.1067"
"82","GO:0043138","3'-5' DNA helicase activity",34,1,0.03,0.03048,"Molecular Functions","evm.TU.chromosome_13.4082"
"83","GO:0042162","telomeric DNA binding",39,1,0.04,0.03489,"Molecular Functions","evm.TU.chromosome_8.2061"
"84","GO:0050699","WW domain binding",42,1,0.04,0.03752,"Molecular Functions","evm.TU.chromosome_11.2778"
"85","GO:0010521","telomerase inhibitor activity",45,1,0.04,0.04015,"Molecular Functions","evm.TU.chromosome_8.2061"
"86","GO:0010521","telomerase inhibitor activity",45,1,0.04,0.04015,"Molecular Functions","evm.TU.chromosome_8.2061"
"87","GO:0005524","ATP binding",2243,5,2.04,0.04445,"Molecular Functions","evm.TU.chromosome_2.771"
"88","GO:0005524","ATP binding",2243,5,2.04,0.04445,"Molecular Functions","evm.TU.chromosome_2.771"
"89","GO:0005524","ATP binding",2243,5,2.04,0.04445,"Molecular Functions","evm.TU.chromosome_5.1840"
"90","GO:0005524","ATP binding",2243,5,2.04,0.04445,"Molecular Functions","evm.TU.chromosome_5.1840"
"91","GO:0005524","ATP binding",2243,5,2.04,0.04445,"Molecular Functions","evm.TU.chromosome_8.1515"
"92","GO:0005524","ATP binding",2243,5,2.04,0.04445,"Molecular Functions","evm.TU.chromosome_8.2061"
"93","GO:0005524","ATP binding",2243,5,2.04,0.04445,"Molecular Functions","evm.TU.chromosome_8.2061"
"94","GO:0005524","ATP binding",2243,5,2.04,0.04445,"Molecular Functions","evm.TU.chromosome_13.4082"
"95","GO:0005524","ATP binding",2243,5,2.04,0.04445,"Molecular Functions","evm.TU.chromosome_13.4082"
