"","mRNA","GO","Term","Annotated","Significant","Expected","Fisher","ontology","sig.prop"
"23","evm.TU.chromosome_1.721","GO:0070374","positive regulation of ERK1 and ERK2 cascade",164,7,2.03,0.00432,"Biological Processes",0.0426829268292683
"24","evm.TU.chromosome_1.680","GO:0001568","blood vessel development",585,10,7.23,0.00541,"Biological Processes",0.0170940170940171
"25","evm.TU.chromosome_1.341","GO:0008217","regulation of blood pressure",362,8,4.47,0.01381,"Biological Processes",0.0220994475138122
"26","evm.TU.chromosome_1.605","GO:0035634","response to stilbenoid",3,1,0.04,0.03661,"Biological Processes",0.333333333333333
"27","evm.TU.chromosome_1.1530","GO:0045663","positive regulation of myoblast differentiation",2,1,0.02,0.02456,"Biological Processes",0.5
"28","evm.TU.chromosome_1.557","GO:0008217","regulation of blood pressure",362,8,4.47,0.01381,"Biological Processes",0.0220994475138122
"29","evm.TU.chromosome_1.59","GO:0001568","blood vessel development",585,10,7.23,0.00541,"Biological Processes",0.0170940170940171
"30","evm.TU.chromosome_1.1891","GO:0007017","microtubule-based process",566,15,6.99,0.00718,"Biological Processes",0.0265017667844523
"31","evm.TU.chromosome_1.1891","GO:0007017","microtubule-based process",566,15,6.99,0.00718,"Biological Processes",0.0265017667844523
"32","evm.TU.chromosome_1.1615","GO:0033504","floor plate development",20,2,0.25,0.02494,"Biological Processes",0.1
"33","evm.TU.chromosome_1.185","GO:0030042","actin filament depolymerization",46,4,0.57,0.00246,"Biological Processes",0.0869565217391304
"34","evm.TU.chromosome_1.185","GO:0045010","actin nucleation",49,3,0.61,0.02259,"Biological Processes",0.0612244897959184
"35","evm.TU.chromosome_1.185","GO:0010634","positive regulation of epithelial cell migration",53,4,0.65,0.00413,"Biological Processes",0.0754716981132075
"36","evm.TU.chromosome_1.185","GO:0045010","actin nucleation",49,3,0.61,0.02259,"Biological Processes",0.0612244897959184
"37","evm.TU.chromosome_1.290","GO:0071420","cellular response to histamine",30,3,0.37,0.0059,"Biological Processes",0.1
"38","evm.TU.chromosome_1.833.1.5f168710","GO:0042744","hydrogen peroxide catabolic process",41,3,0.51,0.01404,"Biological Processes",0.0731707317073171
"39","evm.TU.chromosome_1.835","GO:0070374","positive regulation of ERK1 and ERK2 cascade",164,7,2.03,0.00432,"Biological Processes",0.0426829268292683
"40","evm.TU.chromosome_1.368","GO:0030199","collagen fibril organization",84,8,1.04,9.3e-06,"Biological Processes",0.0952380952380952
"41","evm.TU.chromosome_1.240","GO:0006879","intracellular iron ion homeostasis",48,4,0.59,0.00288,"Biological Processes",0.0833333333333333
"42","evm.TU.chromosome_1.1465","GO:0006311","meiotic gene conversion",9,2,0.11,0.00517,"Biological Processes",0.222222222222222
"43","evm.TU.chromosome_1.1465","GO:0060903","positive regulation of meiosis I",8,2,0.1,0.00405,"Biological Processes",0.25
"44","evm.TU.chromosome_1.1465","GO:0010845","positive regulation of reciprocal meiotic recombina...",8,2,0.1,0.00405,"Biological Processes",0.25
"45","evm.TU.chromosome_1.864","GO:0010718","positive regulation of epithelial to mesenchymal tr...",50,4,0.62,0.00334,"Biological Processes",0.08
"46","evm.TU.chromosome_1.864","GO:0007179","transforming growth factor beta receptor signaling ...",193,6,2.38,0.00075,"Biological Processes",0.0310880829015544
"47","evm.TU.chromosome_1.339","GO:0001568","blood vessel development",585,10,7.23,0.00541,"Biological Processes",0.0170940170940171
"48","evm.TU.chromosome_1.1586","GO:0008217","regulation of blood pressure",362,8,4.47,0.01381,"Biological Processes",0.0220994475138122
"49","evm.TU.chromosome_1.903","GO:0030048","actin filament-based movement",62,5,0.77,0.00384,"Biological Processes",0.0806451612903226
"50","evm.TU.chromosome_1.278","GO:0008217","regulation of blood pressure",362,8,4.47,0.01381,"Biological Processes",0.0220994475138122
"51","evm.TU.chromosome_1.306","GO:0008217","regulation of blood pressure",362,8,4.47,0.01381,"Biological Processes",0.0220994475138122
"52","evm.TU.chromosome_1.1887","GO:0071420","cellular response to histamine",30,3,0.37,0.0059,"Biological Processes",0.1
"53","evm.TU.chromosome_1.1603","GO:0006879","intracellular iron ion homeostasis",48,4,0.59,0.00288,"Biological Processes",0.0833333333333333
"54","evm.TU.chromosome_1.1607","GO:0007017","microtubule-based process",566,15,6.99,0.00718,"Biological Processes",0.0265017667844523
"55","evm.TU.chromosome_1.645","GO:0007017","microtubule-based process",566,15,6.99,0.00718,"Biological Processes",0.0265017667844523
"56","evm.TU.chromosome_1.645","GO:0007017","microtubule-based process",566,15,6.99,0.00718,"Biological Processes",0.0265017667844523
"57","evm.TU.chromosome_1.1109","GO:0010634","positive regulation of epithelial cell migration",53,4,0.65,0.00413,"Biological Processes",0.0754716981132075
"58","evm.TU.chromosome_1.1109","GO:0070374","positive regulation of ERK1 and ERK2 cascade",164,7,2.03,0.00432,"Biological Processes",0.0426829268292683
"59","evm.TU.chromosome_1.1109","GO:0007179","transforming growth factor beta receptor signaling ...",193,6,2.38,0.00075,"Biological Processes",0.0310880829015544
"60","evm.TU.chromosome_1.220","GO:0045010","actin nucleation",49,3,0.61,0.02259,"Biological Processes",0.0612244897959184
"61","evm.TU.chromosome_1.221","GO:0030042","actin filament depolymerization",46,4,0.57,0.00246,"Biological Processes",0.0869565217391304
"62","evm.TU.chromosome_1.221","GO:0045010","actin nucleation",49,3,0.61,0.02259,"Biological Processes",0.0612244897959184
"63","evm.TU.chromosome_1.221","GO:0010634","positive regulation of epithelial cell migration",53,4,0.65,0.00413,"Biological Processes",0.0754716981132075
"64","evm.TU.chromosome_1.221","GO:0045010","actin nucleation",49,3,0.61,0.02259,"Biological Processes",0.0612244897959184
"65","evm.TU.chromosome_1.222","GO:0007266","Rho protein signal transduction",162,5,2,0.00268,"Biological Processes",0.0308641975308642
"66","evm.TU.chromosome_1.222","GO:0007266","Rho protein signal transduction",162,5,2,0.00268,"Biological Processes",0.0308641975308642
"67","evm.TU.chromosome_1.223","GO:0007266","Rho protein signal transduction",162,5,2,0.00268,"Biological Processes",0.0308641975308642
"68","evm.TU.chromosome_1.1162","GO:0007266","Rho protein signal transduction",162,5,2,0.00268,"Biological Processes",0.0308641975308642
"69","evm.TU.chromosome_1.772","GO:0070374","positive regulation of ERK1 and ERK2 cascade",164,7,2.03,0.00432,"Biological Processes",0.0426829268292683
"70","evm.TU.chromosome_2.753","GO:0033504","floor plate development",20,2,0.25,0.02494,"Biological Processes",0.1
"71","evm.TU.chromosome_2.753","GO:0021501","prechordal plate formation",9,2,0.11,0.00517,"Biological Processes",0.222222222222222
"72","evm.TU.chromosome_2.755","GO:0033504","floor plate development",20,2,0.25,0.02494,"Biological Processes",0.1
"73","evm.TU.chromosome_2.755","GO:0021501","prechordal plate formation",9,2,0.11,0.00517,"Biological Processes",0.222222222222222
"74","evm.TU.chromosome_2.2077","GO:0030199","collagen fibril organization",84,8,1.04,9.3e-06,"Biological Processes",0.0952380952380952
"75","evm.TU.chromosome_2.1829","GO:0071230","cellular response to amino acid stimulus",77,5,0.95,0.00264,"Biological Processes",0.0649350649350649
"76","evm.TU.chromosome_2.1829","GO:0030199","collagen fibril organization",84,8,1.04,9.3e-06,"Biological Processes",0.0952380952380952
"77","evm.TU.chromosome_2.1829","GO:0001501","skeletal system development",565,13,6.98,8.7e-05,"Biological Processes",0.0230088495575221
"78","evm.TU.chromosome_2.1824","GO:0071230","cellular response to amino acid stimulus",77,5,0.95,0.00264,"Biological Processes",0.0649350649350649
"79","evm.TU.chromosome_2.1824","GO:0030199","collagen fibril organization",84,8,1.04,9.3e-06,"Biological Processes",0.0952380952380952
"80","evm.TU.chromosome_2.1824","GO:0001501","skeletal system development",565,13,6.98,8.7e-05,"Biological Processes",0.0230088495575221
"81","evm.TU.chromosome_2.1826","GO:0071230","cellular response to amino acid stimulus",77,5,0.95,0.00264,"Biological Processes",0.0649350649350649
"82","evm.TU.chromosome_2.1826","GO:0030199","collagen fibril organization",84,8,1.04,9.3e-06,"Biological Processes",0.0952380952380952
"83","evm.TU.chromosome_2.1826","GO:0001501","skeletal system development",565,13,6.98,8.7e-05,"Biological Processes",0.0230088495575221
"84","evm.TU.chromosome_2.1821","GO:0030199","collagen fibril organization",84,8,1.04,9.3e-06,"Biological Processes",0.0952380952380952
"85","evm.TU.chromosome_2.1823","GO:0030199","collagen fibril organization",84,8,1.04,9.3e-06,"Biological Processes",0.0952380952380952
"86","evm.TU.chromosome_2.1822","GO:0071230","cellular response to amino acid stimulus",77,5,0.95,0.00264,"Biological Processes",0.0649350649350649
"87","evm.TU.chromosome_2.1822","GO:0030199","collagen fibril organization",84,8,1.04,9.3e-06,"Biological Processes",0.0952380952380952
"88","evm.TU.chromosome_2.1822","GO:0001501","skeletal system development",565,13,6.98,8.7e-05,"Biological Processes",0.0230088495575221
"89","evm.TU.chromosome_2.1433","GO:0070374","positive regulation of ERK1 and ERK2 cascade",164,7,2.03,0.00432,"Biological Processes",0.0426829268292683
"90","evm.TU.chromosome_2.1707","GO:0030514","negative regulation of BMP signaling pathway",51,4,0.63,0.00359,"Biological Processes",0.0784313725490196
"91","evm.TU.chromosome_2.1709","GO:0008217","regulation of blood pressure",362,8,4.47,0.01381,"Biological Processes",0.0220994475138122
"92","evm.TU.chromosome_2.611","GO:0042730","fibrinolysis",27,4,0.33,0.00032,"Biological Processes",0.148148148148148
"93","evm.TU.chromosome_2.796","GO:0030048","actin filament-based movement",62,5,0.77,0.00384,"Biological Processes",0.0806451612903226
"94","evm.TU.chromosome_2.695","GO:0030199","collagen fibril organization",84,8,1.04,9.3e-06,"Biological Processes",0.0952380952380952
"95","evm.TU.chromosome_2.695","GO:0001501","skeletal system development",565,13,6.98,8.7e-05,"Biological Processes",0.0230088495575221
"96","evm.TU.chromosome_2.1724","GO:0008217","regulation of blood pressure",362,8,4.47,0.01381,"Biological Processes",0.0220994475138122
"97","evm.TU.chromosome_2.1049","GO:0044179","hemolysis in another organism",10,2,0.12,0.0064,"Biological Processes",0.2
"98","evm.TU.chromosome_2.1815","GO:0071230","cellular response to amino acid stimulus",77,5,0.95,0.00264,"Biological Processes",0.0649350649350649
"99","evm.TU.chromosome_2.1815","GO:0030199","collagen fibril organization",84,8,1.04,9.3e-06,"Biological Processes",0.0952380952380952
"100","evm.TU.chromosome_2.1815","GO:0001501","skeletal system development",565,13,6.98,8.7e-05,"Biological Processes",0.0230088495575221
"101","evm.TU.chromosome_2.508","GO:0071300","cellular response to retinoic acid",82,4,1.01,0.01873,"Biological Processes",0.0487804878048781
"102","evm.TU.chromosome_2.2005","GO:0097067","cellular response to thyroid hormone stimulus",18,4,0.22,6e-05,"Biological Processes",0.222222222222222
"103","evm.TU.chromosome_2.582","GO:0001568","blood vessel development",585,10,7.23,0.00541,"Biological Processes",0.0170940170940171
"104","evm.TU.chromosome_2.582","GO:0070374","positive regulation of ERK1 and ERK2 cascade",164,7,2.03,0.00432,"Biological Processes",0.0426829268292683
"105","evm.TU.chromosome_2.2089","GO:0001501","skeletal system development",565,13,6.98,8.7e-05,"Biological Processes",0.0230088495575221
"106","evm.TU.chromosome_2.1920","GO:0015798","myo-inositol transport",3,1,0.04,0.03661,"Biological Processes",0.333333333333333
"107","evm.TU.chromosome_2.802","GO:0030048","actin filament-based movement",62,5,0.77,0.00384,"Biological Processes",0.0806451612903226
"108","evm.TU.chromosome_2.1845","GO:0008217","regulation of blood pressure",362,8,4.47,0.01381,"Biological Processes",0.0220994475138122
"109","evm.TU.chromosome_2.855","GO:0033504","floor plate development",20,2,0.25,0.02494,"Biological Processes",0.1
"110","evm.TU.chromosome_2.855","GO:0021501","prechordal plate formation",9,2,0.11,0.00517,"Biological Processes",0.222222222222222
"111","evm.TU.chromosome_2.398","GO:0007266","Rho protein signal transduction",162,5,2,0.00268,"Biological Processes",0.0308641975308642
"112","evm.TU.chromosome_2.227","GO:0008217","regulation of blood pressure",362,8,4.47,0.01381,"Biological Processes",0.0220994475138122
"113","evm.TU.chromosome_2.756","GO:0033504","floor plate development",20,2,0.25,0.02494,"Biological Processes",0.1
"114","evm.TU.chromosome_2.756","GO:0021501","prechordal plate formation",9,2,0.11,0.00517,"Biological Processes",0.222222222222222
"115","evm.TU.chromosome_2.1065","GO:0001501","skeletal system development",565,13,6.98,8.7e-05,"Biological Processes",0.0230088495575221
"116","evm.TU.chromosome_2.1064","GO:0001501","skeletal system development",565,13,6.98,8.7e-05,"Biological Processes",0.0230088495575221
"117","evm.TU.chromosome_2.1835","GO:0008217","regulation of blood pressure",362,8,4.47,0.01381,"Biological Processes",0.0220994475138122
"118","evm.TU.chromosome_2.605","GO:0071420","cellular response to histamine",30,3,0.37,0.0059,"Biological Processes",0.1
"119","evm.TU.chromosome_2.1053","GO:0044179","hemolysis in another organism",10,2,0.12,0.0064,"Biological Processes",0.2
"120","evm.TU.chromosome_2.1059","GO:0044179","hemolysis in another organism",10,2,0.12,0.0064,"Biological Processes",0.2
"121","evm.TU.chromosome_2.1860","GO:0006879","intracellular iron ion homeostasis",48,4,0.59,0.00288,"Biological Processes",0.0833333333333333
"122","evm.TU.chromosome_2.1860","GO:0008217","regulation of blood pressure",362,8,4.47,0.01381,"Biological Processes",0.0220994475138122
"123","evm.TU.chromosome_2.760","GO:0033504","floor plate development",20,2,0.25,0.02494,"Biological Processes",0.1
"124","evm.TU.chromosome_2.760","GO:0021501","prechordal plate formation",9,2,0.11,0.00517,"Biological Processes",0.222222222222222
"125","evm.TU.chromosome_2.655","GO:0030042","actin filament depolymerization",46,4,0.57,0.00246,"Biological Processes",0.0869565217391304
"126","evm.TU.chromosome_2.655","GO:0030042","actin filament depolymerization",46,4,0.57,0.00246,"Biological Processes",0.0869565217391304
"127","evm.TU.chromosome_2.289","GO:0071420","cellular response to histamine",30,3,0.37,0.0059,"Biological Processes",0.1
"128","evm.TU.chromosome_2.281","GO:0071420","cellular response to histamine",30,3,0.37,0.0059,"Biological Processes",0.1
"129","evm.TU.chromosome_2.280","GO:0071420","cellular response to histamine",30,3,0.37,0.0059,"Biological Processes",0.1
"130","evm.TU.chromosome_2.282","GO:0071230","cellular response to amino acid stimulus",77,5,0.95,0.00264,"Biological Processes",0.0649350649350649
"131","evm.TU.chromosome_2.1749","GO:0070374","positive regulation of ERK1 and ERK2 cascade",164,7,2.03,0.00432,"Biological Processes",0.0426829268292683
"132","evm.TU.chromosome_2.469","GO:0042730","fibrinolysis",27,4,0.33,0.00032,"Biological Processes",0.148148148148148
"133","evm.TU.chromosome_2.1336","GO:0007266","Rho protein signal transduction",162,5,2,0.00268,"Biological Processes",0.0308641975308642
"134","evm.TU.chromosome_2.254","GO:0071230","cellular response to amino acid stimulus",77,5,0.95,0.00264,"Biological Processes",0.0649350649350649
"135","evm.TU.chromosome_2.1716","GO:0030514","negative regulation of BMP signaling pathway",51,4,0.63,0.00359,"Biological Processes",0.0784313725490196
"136","evm.TU.chromosome_2.196","GO:0009308","amine metabolic process",180,4,2.22,0.01254,"Biological Processes",0.0222222222222222
"137","evm.TU.chromosome_2.196","GO:0097185","cellular response to azide",4,2,0.05,9e-04,"Biological Processes",0.5
"138","evm.TU.chromosome_2.196","GO:0071280","cellular response to copper ion",6,2,0.07,0.00221,"Biological Processes",0.333333333333333
"139","evm.TU.chromosome_2.196","GO:0035874","cellular response to copper ion starvation",4,2,0.05,9e-04,"Biological Processes",0.5
"140","evm.TU.chromosome_2.196","GO:0071420","cellular response to histamine",30,3,0.37,0.0059,"Biological Processes",0.1
"141","evm.TU.chromosome_2.196","GO:0009308","amine metabolic process",180,4,2.22,0.01254,"Biological Processes",0.0222222222222222
"142","evm.TU.chromosome_2.1699","GO:0008217","regulation of blood pressure",362,8,4.47,0.01381,"Biological Processes",0.0220994475138122
"143","evm.TU.chromosome_2.1693","GO:0030514","negative regulation of BMP signaling pathway",51,4,0.63,0.00359,"Biological Processes",0.0784313725490196
"144","evm.TU.chromosome_2.1076","GO:0042730","fibrinolysis",27,4,0.33,0.00032,"Biological Processes",0.148148148148148
"145","evm.TU.chromosome_2.745","GO:0070374","positive regulation of ERK1 and ERK2 cascade",164,7,2.03,0.00432,"Biological Processes",0.0426829268292683
"146","evm.TU.chromosome_2.1886","GO:0071230","cellular response to amino acid stimulus",77,5,0.95,0.00264,"Biological Processes",0.0649350649350649
"147","evm.TU.chromosome_2.488","GO:0007017","microtubule-based process",566,15,6.99,0.00718,"Biological Processes",0.0265017667844523
"148","evm.TU.chromosome_2.488","GO:0007017","microtubule-based process",566,15,6.99,0.00718,"Biological Processes",0.0265017667844523
"149","evm.TU.chromosome_2.385","GO:0030514","negative regulation of BMP signaling pathway",51,4,0.63,0.00359,"Biological Processes",0.0784313725490196
"150","evm.TU.chromosome_2.385","GO:0097264","self proteolysis",16,4,0.2,3.7e-05,"Biological Processes",0.25
"151","evm.TU.chromosome_2.528","GO:0007017","microtubule-based process",566,15,6.99,0.00718,"Biological Processes",0.0265017667844523
"152","evm.TU.chromosome_2.2027","GO:0071300","cellular response to retinoic acid",82,4,1.01,0.01873,"Biological Processes",0.0487804878048781
"153","evm.TU.chromosome_2.771","GO:0071223","cellular response to lipoteichoic acid",6,2,0.07,0.00221,"Biological Processes",0.333333333333333
"154","evm.TU.chromosome_2.771","GO:0019395","fatty acid oxidation",85,4,1.05,0.0347,"Biological Processes",0.0470588235294118
"155","evm.TU.chromosome_2.771","GO:0014835","myoblast differentiation involved in skeletal muscl...",2,1,0.02,0.02456,"Biological Processes",0.5
"156","evm.TU.chromosome_2.771","GO:0090336","positive regulation of brown fat cell differentiati...",2,1,0.02,0.02456,"Biological Processes",0.5
"157","evm.TU.chromosome_2.771","GO:0010759","positive regulation of macrophage chemotaxis",2,1,0.02,0.02456,"Biological Processes",0.5
"158","evm.TU.chromosome_2.771","GO:0045663","positive regulation of myoblast differentiation",2,1,0.02,0.02456,"Biological Processes",0.5
"159","evm.TU.chromosome_2.771","GO:1901741","positive regulation of myoblast fusion",2,1,0.02,0.02456,"Biological Processes",0.5
"160","evm.TU.chromosome_2.771","GO:0090400","stress-induced premature senescence",3,1,0.04,0.03661,"Biological Processes",0.333333333333333
"161","evm.TU.chromosome_2.772","GO:0008348","negative regulation of antimicrobial humoral respon...",2,1,0.02,0.02456,"Biological Processes",0.5
"162","evm.TU.chromosome_2.232","GO:0030261","chromosome condensation",37,3,0.46,0.01061,"Biological Processes",0.0810810810810811
"163","evm.TU.chromosome_2.1220","GO:0070208","protein heterotrimerization",44,4,0.54,0.00209,"Biological Processes",0.0909090909090909
"164","evm.TU.chromosome_2.1021.1.5f15dd58","GO:0071300","cellular response to retinoic acid",82,4,1.01,0.01873,"Biological Processes",0.0487804878048781
"165","evm.TU.chromosome_2.1021","GO:0071300","cellular response to retinoic acid",82,4,1.01,0.01873,"Biological Processes",0.0487804878048781
"166","evm.TU.chromosome_2.1023","GO:0071300","cellular response to retinoic acid",82,4,1.01,0.01873,"Biological Processes",0.0487804878048781
"167","evm.TU.chromosome_2.752","GO:0033504","floor plate development",20,2,0.25,0.02494,"Biological Processes",0.1
"168","evm.TU.chromosome_2.752","GO:0021501","prechordal plate formation",9,2,0.11,0.00517,"Biological Processes",0.222222222222222
"169","evm.TU.chromosome_2.644","GO:0010634","positive regulation of epithelial cell migration",53,4,0.65,0.00413,"Biological Processes",0.0754716981132075
"170","evm.TU.chromosome_3.1277","GO:0070374","positive regulation of ERK1 and ERK2 cascade",164,7,2.03,0.00432,"Biological Processes",0.0426829268292683
"171","evm.TU.chromosome_3.261","GO:0015986","proton motive force-driven ATP synthesis",15,2,0.19,0.01435,"Biological Processes",0.133333333333333
"172","evm.TU.chromosome_3.261","GO:0015986","proton motive force-driven ATP synthesis",15,2,0.19,0.01435,"Biological Processes",0.133333333333333
"173","evm.TU.chromosome_3.705","GO:0007179","transforming growth factor beta receptor signaling ...",193,6,2.38,0.00075,"Biological Processes",0.0310880829015544
"174","evm.TU.chromosome_3.350","GO:0006334","nucleosome assembly",100,12,1.24,3.8e-09,"Biological Processes",0.12
"175","evm.TU.chromosome_3.839","GO:0044179","hemolysis in another organism",10,2,0.12,0.0064,"Biological Processes",0.2
"176","evm.TU.chromosome_3.37","GO:0070374","positive regulation of ERK1 and ERK2 cascade",164,7,2.03,0.00432,"Biological Processes",0.0426829268292683
"177","evm.TU.chromosome_3.1826","GO:0042744","hydrogen peroxide catabolic process",41,3,0.51,0.01404,"Biological Processes",0.0731707317073171
"178","evm.TU.chromosome_3.165","GO:0030199","collagen fibril organization",84,8,1.04,9.3e-06,"Biological Processes",0.0952380952380952
"179","evm.TU.chromosome_3.942","GO:0070374","positive regulation of ERK1 and ERK2 cascade",164,7,2.03,0.00432,"Biological Processes",0.0426829268292683
"180","evm.TU.chromosome_3.1117","GO:0007179","transforming growth factor beta receptor signaling ...",193,6,2.38,0.00075,"Biological Processes",0.0310880829015544
"181","evm.TU.chromosome_3.280","GO:0006352","DNA-templated transcription initiation",130,9,1.61,3.2e-06,"Biological Processes",0.0692307692307692
"182","evm.TU.chromosome_3.280","GO:0006334","nucleosome assembly",100,12,1.24,3.8e-09,"Biological Processes",0.12
"183","evm.TU.chromosome_3.280","GO:0006352","DNA-templated transcription initiation",130,9,1.61,3.2e-06,"Biological Processes",0.0692307692307692
"184","evm.TU.chromosome_3.280","GO:0006334","nucleosome assembly",100,12,1.24,3.8e-09,"Biological Processes",0.12
"185","evm.TU.chromosome_3.281","GO:0006352","DNA-templated transcription initiation",130,9,1.61,3.2e-06,"Biological Processes",0.0692307692307692
"186","evm.TU.chromosome_3.281","GO:0006334","nucleosome assembly",100,12,1.24,3.8e-09,"Biological Processes",0.12
"187","evm.TU.chromosome_3.69","GO:0071230","cellular response to amino acid stimulus",77,5,0.95,0.00264,"Biological Processes",0.0649350649350649
"188","evm.TU.chromosome_3.995","GO:0042744","hydrogen peroxide catabolic process",41,3,0.51,0.01404,"Biological Processes",0.0731707317073171
"189","evm.TU.chromosome_3.563","GO:0030199","collagen fibril organization",84,8,1.04,9.3e-06,"Biological Processes",0.0952380952380952
"190","evm.TU.chromosome_3.332","GO:0006334","nucleosome assembly",100,12,1.24,3.8e-09,"Biological Processes",0.12
"191","evm.TU.chromosome_3.333","GO:0006334","nucleosome assembly",100,12,1.24,3.8e-09,"Biological Processes",0.12
"192","evm.TU.chromosome_3.333","GO:0006334","nucleosome assembly",100,12,1.24,3.8e-09,"Biological Processes",0.12
"193","evm.TU.chromosome_3.336","GO:0006352","DNA-templated transcription initiation",130,9,1.61,3.2e-06,"Biological Processes",0.0692307692307692
"194","evm.TU.chromosome_3.336","GO:0006334","nucleosome assembly",100,12,1.24,3.8e-09,"Biological Processes",0.12
"195","evm.TU.chromosome_3.336","GO:0006352","DNA-templated transcription initiation",130,9,1.61,3.2e-06,"Biological Processes",0.0692307692307692
"196","evm.TU.chromosome_3.336","GO:0006334","nucleosome assembly",100,12,1.24,3.8e-09,"Biological Processes",0.12
"197","evm.TU.chromosome_3.54","GO:0006879","intracellular iron ion homeostasis",48,4,0.59,0.00288,"Biological Processes",0.0833333333333333
"198","evm.TU.chromosome_3.605","GO:0030199","collagen fibril organization",84,8,1.04,9.3e-06,"Biological Processes",0.0952380952380952
"199","evm.TU.chromosome_3.1412","GO:0001568","blood vessel development",585,10,7.23,0.00541,"Biological Processes",0.0170940170940171
"200","evm.TU.chromosome_3.459","GO:0006352","DNA-templated transcription initiation",130,9,1.61,3.2e-06,"Biological Processes",0.0692307692307692
"201","evm.TU.chromosome_3.459","GO:0006334","nucleosome assembly",100,12,1.24,3.8e-09,"Biological Processes",0.12
"202","evm.TU.chromosome_3.459","GO:0006352","DNA-templated transcription initiation",130,9,1.61,3.2e-06,"Biological Processes",0.0692307692307692
"203","evm.TU.chromosome_3.459","GO:0006334","nucleosome assembly",100,12,1.24,3.8e-09,"Biological Processes",0.12
"204","evm.TU.chromosome_3.458","GO:0006334","nucleosome assembly",100,12,1.24,3.8e-09,"Biological Processes",0.12
"205","evm.TU.chromosome_3.451","GO:0030048","actin filament-based movement",62,5,0.77,0.00384,"Biological Processes",0.0806451612903226
"206","evm.TU.chromosome_3.977","GO:0007179","transforming growth factor beta receptor signaling ...",193,6,2.38,0.00075,"Biological Processes",0.0310880829015544
"207","evm.TU.chromosome_3.347","GO:0006352","DNA-templated transcription initiation",130,9,1.61,3.2e-06,"Biological Processes",0.0692307692307692
"208","evm.TU.chromosome_3.347","GO:0006334","nucleosome assembly",100,12,1.24,3.8e-09,"Biological Processes",0.12
"209","evm.TU.chromosome_3.349","GO:0006334","nucleosome assembly",100,12,1.24,3.8e-09,"Biological Processes",0.12
"210","evm.TU.chromosome_3.348","GO:0006352","DNA-templated transcription initiation",130,9,1.61,3.2e-06,"Biological Processes",0.0692307692307692
