"","miRNA","mRNA","PCC.cor","p_value","adjusted_p_value","score","energy","query_start_end","subject_start_end","total_bp_shared","query_similar","subject_similar","Swiss.Prot_Hit","SP_E.value","Swiss.Prot_Description","Trembl_Hit","TB_E.value","Trembl_Description","NCBI_hit","nr_E.value","NCBI_Description","GO_Swiss.Prot","GO_Trembl"
"11","Cluster_1192","evm.TU.chromosome_3.1278",0.148446931421062,0.54417452941744,0.914494443565158,165,-21.58,"2 18","858 879",16,"81.25%","87.50%","sp|Q12882|DPYD_HUMAN",0,"Dihydropyrimidine dehydrogenase [NADP(+)] OS=Homo sapiens GN=DPYD PE=1 SV=2","tr|A0A2B4STV7|A0A2B4STV7_STYPI",0,"Dihydropyrimidine dehydrogenase [NADP(+)] OS=Stylophora pistillata GN=Dpyd PE=4 SV=1","gb|PFX32569.1|",0,"Dihydropyrimidine dehydrogenase [NADP(+)] [Stylophora pistillata]","GO:0005737; GO:0005829; GO:0051539; GO:0017113; GO:0050660; GO:0046872; GO:0050661; GO:0042803; GO:0019483; GO:0006145; GO:0006208; GO:0046135; GO:0006214; GO:0006210; GO:0006212","GO:0005737; GO:0051539; GO:0004152; GO:0017113; GO:0006207; GO:0019483"
"12","Cluster_2972","evm.TU.chromosome_6.2010",-0.102992893650891,0.674794712989565,0.945374056384375,171,-21.58,"2 21","715 738",21,"80.95%","80.95%","sp|P17017|ZNF14_HUMAN",1.06e-105,"Zinc finger protein 14 OS=Homo sapiens GN=ZNF14 PE=2 SV=3","tr|G5C0W4|G5C0W4_HETGA",6.07e-113,"Zinc finger protein 709 OS=Heterocephalus glaber GN=GW7_02776 PE=4 SV=1","ref|XP_020621344.1|",8e-143,"zinc finger protein 709-like isoform X1 [Orbicella faveolata]","GO:0005634; GO:0003677; GO:0046872; GO:0006355; GO:0006351","GO:0000976"
"13","Cluster_2972","evm.TU.chromosome_6.2014",0.248656953912566,0.304643929570746,0.83538438224311,168,-25.96,"2 21","844 862",19,"84.21%","84.21%","sp|Q5R5U3|ZN271_PONAB",2.5e-114,"Zinc finger protein 271 OS=Pongo abelii GN=ZNF271 PE=2 SV=1","tr|G5C0W4|G5C0W4_HETGA",1.45e-134,"Zinc finger protein 709 OS=Heterocephalus glaber GN=GW7_02776 PE=4 SV=1","ref|XP_020619966.1|",1.77e-152,"zinc finger protein 883-like [Orbicella faveolata]","GO:0005634; GO:0046872; GO:0000976; GO:0006355; GO:0006351","GO:0000976"
"14","Cluster_8986","evm.TU.chromosome_7.2062",0.392490680578955,0.0964807384025907,0.670931544273392,156,-20.18,"2 21","299 318",19,"78.95%","78.95%",NA,NA,NA,"tr|A0A2B4RX95|A0A2B4RX95_STYPI",4.91e-28,"Uncharacterized protein OS=Stylophora pistillata GN=AWC38_SpisGene14560 PE=4 SV=1","ref|XP_015747504.1|",4.22e-76,"PREDICTED: uncharacterized protein LOC107327273 [Acropora digitifera]",NA,""
"15","Cluster_9000","evm.TU.chromosome_5.2179",0.264082971473824,0.274611675402978,0.820582434661096,166,-20.87,"2 19","279 300",17,"76.47%","88.24%","sp|P52747|ZN143_HUMAN",4.09e-122,"Zinc finger protein 143 OS=Homo sapiens GN=ZNF143 PE=1 SV=2","tr|A0A2B4SVU1|A0A2B4SVU1_STYPI",0,"Zinc finger protein 143 OS=Stylophora pistillata GN=ZNF143 PE=4 SV=1","gb|PFX32662.1|",0,"zinc finger protein 143-like [Stylophora pistillata]","GO:0005654; GO:0046872; GO:0000978; GO:0001077; GO:0045944; GO:0006357; GO:0006359; GO:0042795; GO:0006366; GO:0006383","GO:0003676"
"16","Cluster_4646","evm.TU.chromosome_2.1945",0.224022144752615,0.356532997754736,0.857141772361321,158,-20.52,"2 17","72 92",15,"86.67%","86.67%","sp|Q99523|SORT_HUMAN",4.07e-144,"Sortilin OS=Homo sapiens GN=SORT1 PE=1 SV=3","tr|A0A2B4SKK5|A0A2B4SKK5_STYPI",0,"Sortilin OS=Stylophora pistillata GN=Sort1 PE=4 SV=1","ref|XP_020632947.1|",0,"sortilin-like [Orbicella faveolata]","GO:0009986; GO:0005905; GO:0030136; GO:0031410; GO:0030659; GO:0005829; GO:0030425; GO:0005769; GO:0005789; GO:0010008; GO:0005794; GO:0032580; GO:0016021; GO:0005765; GO:0043025; GO:0031965; GO:0048471; GO:0005886; GO:0030140; GO:0019899; GO:0048406; GO:0010465; GO:0030379; GO:0006897; GO:0008333; GO:0032509; GO:0008625; GO:0007186; GO:0046323; GO:0006895; GO:0007275; GO:0014902; GO:0045599; GO:0051005; GO:0007218; GO:0048011; GO:0001503; GO:0048227; GO:1904037; GO:0010468; GO:0032868; GO:0016050","GO:0005794; GO:0016021"
"17","Cluster_1192","evm.TU.chromosome_9.961",0.111455287623942,0.649641528537293,0.940094063050181,162,-20.74,"2 21","40 63",21,"76.19%","80.95%",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","Cluster_1473","evm.TU.chromosome_9.969",-0.0205738938196502,0.933374794580473,0.991035679705393,168,-24.8,"2 21","158 179",19,"73.68%","84.21%","sp|Q9H0H5|RGAP1_HUMAN",8.88e-154,"Rac GTPase-activating protein 1 OS=Homo sapiens GN=RACGAP1 PE=1 SV=1","tr|A7RHX5|A7RHX5_NEMVE",0,"Predicted protein OS=Nematostella vectensis GN=v1g238395 PE=4 SV=1","ref|XP_022788752.1|",0,"rac GTPase-activating protein 1-like [Stylophora pistillata]","GO:0001669; GO:0097149; GO:0032154; GO:0005737; GO:0005829; GO:0070062; GO:0031234; GO:0090543; GO:0005874; GO:0030496; GO:0072686; GO:0005654; GO:0005634; GO:0051233; GO:0043014; GO:0048487; GO:0043015; GO:0005096; GO:0046872; GO:0008017; GO:0005547; GO:0019901; GO:0000915; GO:0019886; GO:0035556; GO:0007018; GO:0000281; GO:0051256; GO:0007405; GO:0032467; GO:0051988; GO:0045995; GO:0051056; GO:0006890; GO:0007283; GO:0008272","GO:0005737; GO:0046872; GO:0035556; GO:0043087"
"19","Cluster_998","evm.TU.chromosome_10.3121",0.593915776038096,0.0073366075084872,0.322618699655886,155,-20.23,"2 19","166 186",18,"77.78%","83.33%","sp|P53452|DRD1L_TAKRU",5.75e-43,"D(1)-like dopamine receptor OS=Takifugu rubripes GN=d14 PE=3 SV=1","tr|A7SWM7|A7SWM7_NEMVE",1.42e-96,"Predicted protein (Fragment) OS=Nematostella vectensis GN=v1g194295 PE=3 SV=1","ref|XP_020625557.1|",0,"tyramine/octopamine receptor-like isoform X1 [Orbicella faveolata]","GO:0005887; GO:0005622; GO:0004952; GO:0007191; GO:0007612; GO:0060158; GO:0042311","GO:0016021; GO:0004930"
"20","Cluster_4425","evm.TU.chromosome_10.3123",-0.0784149093751212,0.74965849148711,0.96069450478835,159,-22.8,"2 20","509 530",18,"66.67%","83.33%","sp|Q921C3|BRWD1_MOUSE",0,"Bromodomain and WD repeat-containing protein 1 OS=Mus musculus GN=Brwd1 PE=1 SV=2","tr|A0A2B4S309|A0A2B4S309_STYPI",0,"Bromodomain and WD repeat-containing protein 1 OS=Stylophora pistillata GN=BRWD1 PE=4 SV=1","gb|PFX22948.1|",0,"Bromodomain and WD repeat-containing protein 1 [Stylophora pistillata]","GO:0005829; GO:0005730; GO:0005654; GO:0005634; GO:0007010; GO:0008360; GO:0006357; GO:0006351","GO:0019905"
"21","Cluster_2972","evm.TU.chromosome_10.3128",-0.0696835329339525,0.77681885306895,0.965770421983704,140,-22.11,"2 9","862 883",7,"100.00%","100.00%","sp|Q07QZ3|Y1692_RHOP5",7.13e-32,"Putative hydro-lyase RPE_1692 OS=Rhodopseudomonas palustris (strain BisA53) GN=RPE_1692 PE=3 SV=1","tr|A0A2B4RZ89|A0A2B4RZ89_STYPI",4.64e-104,"Uncharacterized protein OS=Stylophora pistillata GN=AWC38_SpisGene12538 PE=4 SV=1","ref|XP_020625495.1|",1.72e-160,"UPF0317 protein C14orf159, mitochondrial-like [Orbicella faveolata]","GO:0016829",""
"22","Cluster_1663","evm.TU.chromosome_10.3129",0.270044988671947,0.263515858198115,0.814881194699176,165,-20.69,"2 14","522 543",12,"100.00%","100.00%",NA,NA,NA,"tr|A7RPC6|A7RPC6_NEMVE",9.98e-32,"Predicted protein OS=Nematostella vectensis GN=v1g239748 PE=4 SV=1","ref|XP_020625513.1|",1.36e-103,"nonsense-mediated mRNA decay protein 2-like [Orbicella faveolata]",NA,"GO:0031083; GO:0016197"
"23","Cluster_4425","evm.TU.chromosome_4.1062",-0.364673846978311,0.124762044133284,0.708914276052982,150,-20.08,"2 21","650 670",19,"68.42%","73.68%","sp|Q9Y2S7|PDIP2_HUMAN",6.98e-134,"Polymerase delta-interacting protein 2 OS=Homo sapiens GN=POLDIP2 PE=1 SV=1","tr|A0A2B4SRE7|A0A2B4SRE7_STYPI",0,"Polymerase delta-interacting protein 2 OS=Stylophora pistillata GN=POLDIP2 PE=4 SV=1","ref|XP_020624216.1|",0,"polymerase delta-interacting protein 2-like [Orbicella faveolata]","GO:0042645; GO:0005739; GO:0005634; GO:0003677; GO:0070584; GO:0016242; GO:0045931","GO:0003677"
"24","Cluster_4425","evm.TU.chromosome_1.1444",0.0494065596380508,0.840808321657054,0.976801502161879,157,-21.03,"2 21","947 968",20,"75.00%","80.00%",NA,NA,NA,NA,NA,NA,"ref|XP_020632068.1|",7.11e-83,"uncharacterized protein LOC110068991 [Orbicella faveolata]",NA,NA
"25","Cluster_508","evm.TU.chromosome_14.4914",-0.217883888938176,0.370203750569487,0.862070351864998,162,-20.03,"2 21","87 111",22,"68.18%","86.36%",NA,NA,NA,"tr|A0A2B4RC28|A0A2B4RC28_STYPI",1.68e-41,"Uncharacterized protein OS=Stylophora pistillata GN=AWC38_SpisGene20592 PE=4 SV=1","ref|XP_020901296.1|",3.86e-66,"uncharacterized protein LOC110239884 [Exaiptasia pallida]",NA,"GO:0003677; GO:0004518"
"26","Cluster_3293","evm.TU.chromosome_13.2490",-0.0298949607510628,0.903303719345153,0.986760916897228,157,-20.55,"2 19","388 409",18,"72.22%","83.33%","sp|Q8N567|ZCHC9_HUMAN",9e-46,"Zinc finger CCHC domain-containing protein 9 OS=Homo sapiens GN=ZCCHC9 PE=1 SV=2","tr|A0A2B4SNE0|A0A2B4SNE0_STYPI",3.3e-114,"Zinc finger CCHC domain-containing protein 9 OS=Stylophora pistillata GN=ZCCHC9 PE=4 SV=1","gb|PFX30886.1|",5.12e-114,"uncharacterized protein C683.02c-like [Stylophora pistillata]","GO:0005730; GO:0003723; GO:0008270; GO:0010923; GO:0006351","GO:0003676; GO:0008270"
"27","Cluster_1192","evm.TU.chromosome_13.2496",-0.403904938928349,0.0863426053956706,0.654307064568625,158,-26.45,"2 20","82 110",25,"68.00%","72.00%","sp|O70260|PIAS3_RAT",9.42e-148,"E3 SUMO-protein ligase PIAS3 OS=Rattus norvegicus GN=Pias3 PE=1 SV=2","tr|A0A2B4SQQ8|A0A2B4SQQ8_STYPI",0,"E3 SUMO-protein ligase PIAS3 OS=Stylophora pistillata GN=Pias3 PE=4 SV=1","ref|XP_020627008.1|",0,"E3 SUMO-protein ligase PIAS3-like isoform X1 [Orbicella faveolata]","GO:0005737; GO:0030425; GO:0016607; GO:0005634; GO:0045202; GO:0019899; GO:0016874; GO:0015459; GO:0008022; GO:0047485; GO:0019789; GO:0008270; GO:0033234; GO:0010628; GO:0045838; GO:0033235; GO:0016925; GO:0006355; GO:0009725; GO:0006351","GO:0016874; GO:0019789; GO:0008270"
"28","Cluster_1453","evm.TU.chromosome_2.864",0.225178130210273,0.353991241296962,0.856254455488767,151,-21.34,"2 21","345 370",23,"65.22%","69.57%","sp|Q8BZ39|NMUR2_MOUSE",1.18e-18,"Neuromedin-U receptor 2 OS=Mus musculus GN=Nmur2 PE=2 SV=1","tr|A0A2B4SEV7|A0A2B4SEV7_STYPI",3.39e-128,"Adenosine receptor A2b OS=Stylophora pistillata GN=ADORA2B PE=4 SV=1","ref|XP_020615627.1|",5.56e-159,"uncharacterized protein LOC110053703 [Orbicella faveolata]","GO:0016021; GO:0005622; GO:0005886; GO:0005525; GO:0005229; GO:0042924; GO:0001607; GO:0008188; GO:0043006; GO:0050482; GO:0006816; GO:0007417; GO:0007625; GO:0048016; GO:0007218; GO:0007200; GO:0007204; GO:0002023; GO:0051930; GO:0048265","GO:0016021; GO:0004930"
"29","Cluster_1452","evm.TU.chromosome_10.1435",0.588709198780331,0.00800649654965209,0.33217258596577,166,-22.82,"2 20","684 706",19,"73.68%","89.47%","sp|Q5XJ36|PARK7_DANRE",9.63e-67,"Protein/nucleic acid deglycase DJ-1 OS=Danio rerio GN=park7 PE=2 SV=1","tr|A7SJ12|A7SJ12_NEMVE",1.5e-94,"Predicted protein OS=Nematostella vectensis GN=v1g190290 PE=4 SV=1","ref|XP_020616643.1|",2.58e-137,"protein DJ-1-like [Orbicella faveolata]","GO:0005737; GO:0045121; GO:0005739; GO:0005634; GO:0005886; GO:0003729; GO:0008233; GO:0042803; GO:0006914; GO:0070301; GO:0034599; GO:0006281; GO:0042593; GO:0106044; GO:0106046; GO:0106045; GO:0006954; GO:0030073; GO:0060548; GO:1903427; GO:2000277; GO:0006517; GO:0050821; GO:0043523; GO:0006979; GO:0007338",""
"30","Cluster_2151","evm.TU.chromosome_9.2348",-0.379517772508999,0.109022595740476,0.688314452853001,152,-20.22,"2 21","528 549",19,"68.42%","68.42%","sp|Q9XT26|CCNT1_HORSE",2.86e-132,"Cyclin-T1 OS=Equus caballus GN=CCNT1 PE=1 SV=1","tr|A0A2B4SM52|A0A2B4SM52_STYPI",0,"Cyclin-T1 OS=Stylophora pistillata GN=CCNT1 PE=4 SV=1","ref|XP_020602058.1|",0,"cyclin-T1-like [Orbicella faveolata]","GO:0000307; GO:0008024; GO:0005634; GO:0097322; GO:0003682; GO:0016538; GO:0019901; GO:0070063; GO:0008134; GO:0044212; GO:0007049; GO:0051301; GO:1900364; GO:0045737; GO:1901409; GO:0045944; GO:0006468; GO:0006351; GO:0016032","GO:0019901; GO:0006355"
"31","Cluster_2151","evm.TU.chromosome_9.2344",-0.11023768373699,0.653239172252051,0.940897436727436,148,-21.32,"2 21","817 838",19,"63.16%","68.42%","sp|F1QJX5|UBR3_DANRE",1.2e-140,"E3 ubiquitin-protein ligase ubr3 OS=Danio rerio GN=ubr3 PE=2 SV=2","tr|A0A2B4SNG6|A0A2B4SNG6_STYPI",0,"E3 ubiquitin-protein ligase UBR3 OS=Stylophora pistillata GN=Ubr3 PE=4 SV=1","ref|XP_022782680.1|",0,"E3 ubiquitin-protein ligase UBR3-like [Stylophora pistillata]","GO:0005737; GO:0000151; GO:0016874; GO:0061630; GO:0008270; GO:0048592; GO:0071596","GO:0016874"
"32","Cluster_3331","evm.TU.chromosome_6.1092",-0.0727724792795895,0.767180070964818,0.963938841993845,153,-20.38,"2 17","807 826",15,"80.00%","86.67%","sp|Q09575|YRD6_CAEEL",1.23e-14,"Uncharacterized protein K02A2.6 OS=Caenorhabditis elegans GN=K02A2.6 PE=4 SV=1","tr|A0A2B4SQ45|A0A2B4SQ45_STYPI",1.73e-78,"Uncharacterized protein K02A2.6 OS=Stylophora pistillata GN=K02A2.6 PE=4 SV=1","ref|XP_015762005.1|",3.43e-82,"PREDICTED: uncharacterized protein K02A2.6-like [Acropora digitifera]","GO:0003676; GO:0008270; GO:0015074","GO:0003676; GO:0015074"
"33","Cluster_3337","evm.TU.chromosome_6.1092",-0.0148726888232091,0.951812890734721,0.99368078701589,153,-20.38,"2 17","807 826",15,"80.00%","86.67%","sp|Q09575|YRD6_CAEEL",1.23e-14,"Uncharacterized protein K02A2.6 OS=Caenorhabditis elegans GN=K02A2.6 PE=4 SV=1","tr|A0A2B4SQ45|A0A2B4SQ45_STYPI",1.73e-78,"Uncharacterized protein K02A2.6 OS=Stylophora pistillata GN=K02A2.6 PE=4 SV=1","ref|XP_015762005.1|",3.43e-82,"PREDICTED: uncharacterized protein K02A2.6-like [Acropora digitifera]","GO:0003676; GO:0008270; GO:0015074","GO:0003676; GO:0015074"
"34","Cluster_3338","evm.TU.chromosome_6.1092",-0.0526260689773176,0.830573506608129,0.975049237153032,153,-20.38,"2 17","807 826",15,"80.00%","86.67%","sp|Q09575|YRD6_CAEEL",1.23e-14,"Uncharacterized protein K02A2.6 OS=Caenorhabditis elegans GN=K02A2.6 PE=4 SV=1","tr|A0A2B4SQ45|A0A2B4SQ45_STYPI",1.73e-78,"Uncharacterized protein K02A2.6 OS=Stylophora pistillata GN=K02A2.6 PE=4 SV=1","ref|XP_015762005.1|",3.43e-82,"PREDICTED: uncharacterized protein K02A2.6-like [Acropora digitifera]","GO:0003676; GO:0008270; GO:0015074","GO:0003676; GO:0015074"
"35","Cluster_3406","evm.TU.chromosome_5.974",0.15092524009711,0.537396164983631,0.912662947729723,146,-22.03,"2 11","953 974",9,"88.89%","100.00%",NA,NA,NA,"tr|A7RXZ1|A7RXZ1_NEMVE",4.73e-08,"Predicted protein OS=Nematostella vectensis GN=v1g203803 PE=4 SV=1","ref|XP_020917773.1|",8.76e-12,"uncharacterized protein LOC110255049 isoform X2 [Exaiptasia pallida]",NA,""
"36","Cluster_1452","evm.TU.chromosome_7.2693",0.250418167220745,0.30111875674974,0.833660495393016,161,-21.54,"2 21","35 56",20,"75.00%","85.00%",NA,NA,NA,"tr|A0A2B4SBL8|A0A2B4SBL8_STYPI",9.75e-52,"Bis(5'-adenosyl)-triphosphatase enpp4 OS=Stylophora pistillata GN=enpp4 PE=4 SV=1","ref|XP_020614558.1|",1.53e-63,"uncharacterized protein LOC110052737 [Orbicella faveolata]",NA,"GO:0016021; GO:0003824; GO:0008152"
"37","Cluster_4696","evm.TU.chromosome_13.3844",-0.0855995731337487,0.727517566498366,0.956477673141413,161,-20.74,"2 21","161 182",20,"75.00%","85.00%",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"38","Cluster_2972","evm.TU.chromosome_1.999",0.063494285585749,0.796224791927552,0.969192248141492,157,-21,"2 21","247 266",19,"73.68%","78.95%","sp|Q8K2J9|BTBD6_MOUSE",5.47e-88,"BTB/POZ domain-containing protein 6 OS=Mus musculus GN=Btbd6 PE=2 SV=2","tr|A0A2B4RXK3|A0A2B4RXK3_STYPI",9.28e-170,"BTB/POZ domain-containing protein 6 OS=Stylophora pistillata GN=Btbd6 PE=4 SV=1","ref|XP_020629912.1|",0,"BTB/POZ domain-containing protein 6-B-like [Orbicella faveolata]","GO:0005829; GO:0019005; GO:0031625; GO:0022008; GO:0043161; GO:0042787; GO:0030162",""
"39","Cluster_4425","evm.TU.chromosome_2.1328",-0.477280086243088,0.0387887894298667,0.535805911706536,157,-20.17,"2 16","57 77",14,"85.71%","92.86%",NA,NA,NA,"tr|A0A2B4RQG5|A0A2B4RQG5_STYPI",0,"Serine/threonine-protein phosphatase 4 regulatory subunit 2 OS=Stylophora pistillata GN=PPP4R2r PE=4 SV=1","gb|PFX18472.1|",0,"Serine/threonine-protein phosphatase 4 regulatory subunit 2 [Stylophora pistillata]",NA,"GO:0030289; GO:0019888"
"40","Cluster_1567","evm.TU.chromosome_2.1326",-0.221620867576185,0.361846147910199,0.858981835689066,146,-20.02,"2 21","253 278",23,"60.87%","73.91%","sp|P33032|MC5R_HUMAN",2.77e-11,"Melanocortin receptor 5 OS=Homo sapiens GN=MC5R PE=1 SV=3","tr|A0A2B4SST1|A0A2B4SST1_STYPI",1.49e-74,"Adenosine receptor A2b OS=Stylophora pistillata GN=ADORA2B PE=4 SV=1","ref|XP_020623024.1|",1.35e-130,"adenosine receptor A3-like [Orbicella faveolata]","GO:0005887; GO:0005622; GO:0005886; GO:0042562; GO:0004977; GO:0007189; GO:0007186; GO:0007187","GO:0016021; GO:0004930"
