"","mirna_FC","mrna_FC","mirna","mrna","value","score","energy","subj_identity","query_identity","pvalue"
"chromosome_4_131796",-1.26929856081406,23.0269462176754,"chromosome_4_131796","evm.TU.chromosome_14.5366",24.2962447784895,145,-16.41,"66.67%","72.22%",0.00146000000000002
"chromosome_4_131847",-1.2645621432378,23.0269462176754,"chromosome_4_131847","evm.TU.chromosome_14.5366",24.2915083609132,145,-16.41,"66.67%","72.22%",0.00163000000000002
"chromosome_4_131807",-1.2645621432378,23.0269462176754,"chromosome_4_131807","evm.TU.chromosome_14.5366",24.2915083609132,145,-16.41,"66.67%","72.22%",0.00163000000000002
"chromosome_4_131850.1",-1.26929856081406,7.08569400614229,"chromosome_4_131850","evm.TU.chromosome_12.3088",8.35499256695635,148,-13.63,"84.62%","84.62%",0.0224
"chromosome_4_131836.1",-1.26929856081406,7.08569400614229,"chromosome_4_131836","evm.TU.chromosome_12.3088",8.35499256695635,148,-13.63,"84.62%","84.62%",0.0224
"chromosome_4_131810.1",-1.26929856081406,7.08569400614229,"chromosome_4_131810","evm.TU.chromosome_12.3088",8.35499256695635,148,-13.63,"84.62%","84.62%",0.0224
"chromosome_4_131796.1",-1.26929856081406,7.08569400614229,"chromosome_4_131796","evm.TU.chromosome_12.3088",8.35499256695635,148,-13.63,"84.62%","84.62%",0.0224
"chromosome_4_131847.1",-1.2645621432378,7.08569400614229,"chromosome_4_131847","evm.TU.chromosome_12.3088",8.35025614938009,148,-13.63,"84.62%","84.62%",0.0226499999999999
"chromosome_4_131807.1",-1.2645621432378,7.08569400614229,"chromosome_4_131807","evm.TU.chromosome_12.3088",8.35025614938009,148,-13.63,"84.62%","84.62%",0.0226499999999999
"chromosome_3_79553.1",-3.22436808125309,7.08569400614229,"chromosome_3_79553","evm.TU.chromosome_12.3088",10.3100620873954,153,-13.41,"75.00%","75.00%",0.00887000000000004
"chromosome_12_481048.1",-2.33674498469137,7.08569400614229,"chromosome_12_481048","evm.TU.chromosome_12.3088",9.42243899083366,162,-16.22,"86.67%","93.33%",0.01125
"chromosome_12_481048.2",-2.33674498469137,7.08569400614229,"chromosome_12_481048","evm.TU.chromosome_12.3088",9.42243899083366,166,-17.84,"82.35%","82.35%",0.01125
"chromosome_4_135958.6",-1.94475184018536,7.08569400614229,"chromosome_4_135958","evm.TU.chromosome_12.3088",9.03044584632765,149,-14.94,"70.00%","75.00%",0.01387
"chromosome_4_131850.2",-1.26929856081406,-9.4313605090283,"chromosome_4_131850","evm.TU.chromosome_13.1842",8.16206194821424,140,-14.71,"100.00%","100.00%",0.0264
"chromosome_4_131850.3",-1.26929856081406,-9.4313605090283,"chromosome_4_131850","evm.TU.chromosome_13.1842",8.16206194821424,148,-16.65,"81.82%","90.91%",0.0264
"chromosome_4_131836.2",-1.26929856081406,-9.4313605090283,"chromosome_4_131836","evm.TU.chromosome_13.1842",8.16206194821424,140,-14.71,"100.00%","100.00%",0.0264
"chromosome_4_131836.3",-1.26929856081406,-9.4313605090283,"chromosome_4_131836","evm.TU.chromosome_13.1842",8.16206194821424,148,-16.65,"81.82%","90.91%",0.0264
"chromosome_4_131810.2",-1.26929856081406,-9.4313605090283,"chromosome_4_131810","evm.TU.chromosome_13.1842",8.16206194821424,140,-14.71,"100.00%","100.00%",0.0264
"chromosome_4_131810.3",-1.26929856081406,-9.4313605090283,"chromosome_4_131810","evm.TU.chromosome_13.1842",8.16206194821424,148,-16.65,"81.82%","90.91%",0.0264
"chromosome_4_131796.2",-1.26929856081406,-9.4313605090283,"chromosome_4_131796","evm.TU.chromosome_13.1842",8.16206194821424,140,-14.71,"100.00%","100.00%",0.0264
"chromosome_4_131796.3",-1.26929856081406,-9.4313605090283,"chromosome_4_131796","evm.TU.chromosome_13.1842",8.16206194821424,148,-16.65,"81.82%","90.91%",0.0264
"chromosome_4_131847.2",-1.2645621432378,-9.4313605090283,"chromosome_4_131847","evm.TU.chromosome_13.1842",8.1667983657905,140,-14.71,"100.00%","100.00%",0.02519
"chromosome_4_131847.3",-1.2645621432378,-9.4313605090283,"chromosome_4_131847","evm.TU.chromosome_13.1842",8.1667983657905,148,-16.65,"81.82%","90.91%",0.02519
"chromosome_4_131807.2",-1.2645621432378,-9.4313605090283,"chromosome_4_131807","evm.TU.chromosome_13.1842",8.1667983657905,140,-14.71,"100.00%","100.00%",0.02519
"chromosome_4_131807.3",-1.2645621432378,-9.4313605090283,"chromosome_4_131807","evm.TU.chromosome_13.1842",8.1667983657905,148,-16.65,"81.82%","90.91%",0.02519
"chromosome_6_180004",-1.47554410400875,-25.4341843205866,"chromosome_6_180004","evm.TU.chromosome_1.253",23.9586402165778,152,-18.59,"73.68%","78.95%",0.00253000000000003
"chromosome_3_79553.2",-3.22436808125309,4.96964744285824,"chromosome_3_79553","evm.TU.chromosome_12.3432",8.19401552411133,141,-12.02,"75.00%","75.00%",0.02462
"chromosome_4_131850.4",-1.26929856081406,6.09195707506919,"chromosome_4_131850","evm.TU.chromosome_10.1377",7.36125563588325,141,-12.03,"75.00%","75.00%",0.04839
"chromosome_4_131850.5",-1.26929856081406,6.09195707506919,"chromosome_4_131850","evm.TU.chromosome_10.1377",7.36125563588325,148,-10.72,"81.82%","90.91%",0.04839
"chromosome_4_131836.4",-1.26929856081406,6.09195707506919,"chromosome_4_131836","evm.TU.chromosome_10.1377",7.36125563588325,141,-12.03,"75.00%","75.00%",0.04839
"chromosome_4_131836.5",-1.26929856081406,6.09195707506919,"chromosome_4_131836","evm.TU.chromosome_10.1377",7.36125563588325,148,-10.72,"81.82%","90.91%",0.04839
"chromosome_4_131810.4",-1.26929856081406,6.09195707506919,"chromosome_4_131810","evm.TU.chromosome_10.1377",7.36125563588325,141,-12.03,"75.00%","75.00%",0.04839
"chromosome_4_131810.5",-1.26929856081406,6.09195707506919,"chromosome_4_131810","evm.TU.chromosome_10.1377",7.36125563588325,148,-10.72,"81.82%","90.91%",0.04839
"chromosome_4_131796.4",-1.26929856081406,6.09195707506919,"chromosome_4_131796","evm.TU.chromosome_10.1377",7.36125563588325,141,-12.03,"75.00%","75.00%",0.04839
"chromosome_4_131796.5",-1.26929856081406,6.09195707506919,"chromosome_4_131796","evm.TU.chromosome_10.1377",7.36125563588325,148,-10.72,"81.82%","90.91%",0.04839
"chromosome_4_131847.4",-1.2645621432378,6.09195707506919,"chromosome_4_131847","evm.TU.chromosome_10.1377",7.35651921830699,141,-12.03,"75.00%","75.00%",0.04863
"chromosome_4_131847.5",-1.2645621432378,6.09195707506919,"chromosome_4_131847","evm.TU.chromosome_10.1377",7.35651921830699,148,-10.72,"81.82%","90.91%",0.04863
"chromosome_4_131807.4",-1.2645621432378,6.09195707506919,"chromosome_4_131807","evm.TU.chromosome_10.1377",7.35651921830699,141,-12.03,"75.00%","75.00%",0.04863
"chromosome_4_131807.5",-1.2645621432378,6.09195707506919,"chromosome_4_131807","evm.TU.chromosome_10.1377",7.35651921830699,148,-10.72,"81.82%","90.91%",0.04863
"chromosome_3_79553.3",-3.22436808125309,9.02652920792729,"chromosome_3_79553","evm.TU.chromosome_10.1376",12.2508972891804,154,-19.16,"66.67%","66.67%",0.00473999999999997
"chromosome_4_135958.7",-1.94475184018536,9.02652920792729,"chromosome_4_135958","evm.TU.chromosome_10.1376",10.9712810481126,156,-11.76,"73.68%","84.21%",0.00710999999999995
"chromosome_4_135958.8",-1.94475184018536,9.02652920792729,"chromosome_4_135958","evm.TU.chromosome_10.1376",10.9712810481126,166,-19.01,"78.95%","84.21%",0.00710999999999995
